cat_id,cat_desc
12118,保養品
12159,保養套組
12119,臉部保養
12120,臉部清潔
12121,洗臉機
12122,導入液
12123,化妝水
12124,精華液
12125,乳液/乳霜/凝膠
12126,眼唇護理
12127,面膜
12128,防曬
12129,護理油
12130,臉部特殊護理
12131,身體護理
12132,身體清潔
12133,身體乳液/乳霜
12134,體香劑
12135,美胸
12136,身體防曬
12137,美體產品
12138,身體護理工具
12139,身體特殊護理
12140,手足護理
12141,護手霜
12142,護足霜
12143,護甲產品
12144,去光水
12145,手足護理工具
12146,頭髮護理
12147,頭髮清潔
12148,頭髮潤絲
12149,頭髮特殊護理
12150,美髮造型
12151,男仕保養
12152,清潔/刮鬍
12153,男仕化妝水
12154,男仕精華液
12155,男仕乳液/乳霜
12156,男仕面膜
12157,男仕眼唇護理
12158,男仕特殊護理
12160,彩妝品
12161,臉部彩妝
12176,唇部彩妝
12170,眼部彩妝
12183,彩妝套組
12188,彩妝工具及其他
12189,香水
12211,香水套組
12212,迷你香水組
12213,綜合套組
12214,其他香水套組
12190,女性香水
12191,女性Parfum香精
12192,女性E.D.P.香水
12193,女性E.D.T.淡香水
12194,女性Cologn古龍水
12195,女性香水綜合套組
12196,其他女性香水
12197,男性香水
12204,中性香水
12205,中性Parfum香精
12206,中性E.D.P.香水
12207,中性E.D.T.淡香水
12208,中性Cologn古龍水
12209,中性香水綜合套組
12210,其他中性香水
12215,精品
12264,女童系列
12265,女嬰服飾
12266,女嬰用品
12267,女童服飾
12268,女童用品
12269,其他女童系列
12258,男童系列
12259,男嬰服飾
12260,男嬰用品
12261,男童服飾
12262,男童用品
12263,其他男童系列
12216,女仕系列
12217,女裝
12218,女鞋
12219,女性包包
12220,女性小皮件
12221,女性配件
12222,女性太陽眼鏡
12223,女性筆款
12224,女性旅行用品
12225,其他女仕系列
12227,女性飾品
12228,男仕系列
12229,男裝
12230,男鞋
12231,男性包包
12232,男性小皮件
12233,男性配件
12234,男性太陽眼鏡
12235,男性筆款
12236,男性旅行用品
12237,其他男仕系列
12239,男性飾品
12240,中性系列
12241,中性服飾
12242,中性鞋
12243,中性包包
12244,中性小皮件
12245,中性配件
12246,中性太陽眼鏡
12247,中性筆款
12248,中性旅行用品
12250,旅行系列
12251,商務
12252,旅行硬箱
12253,旅行軟箱
12254,戶外休閒
12255,兒童箱包
12256,旅行配件
12257,其他旅行系列
12270,酒品
12271,威士忌
12272,單一純麥威士忌
12273,調和威士忌
12274,穀物威士忌
12275,白蘭地
12276,雅馬邑白蘭地
12277,干邑白蘭地
12281,葡萄酒
12282,紅酒
12283,白酒
12284,香檳
12285,氣泡酒
12286,冰酒
12287,調酒
12288,龍舌蘭
12289,伏特加
12290,琴酒
12291,蘭姆酒
12292,奶酒
12278,中式烈酒
12279,高粱酒
12280,紹興酒
12508,茶酒
12293,釀造酒
12294,清酒
12295,梅酒
12296,台產
12297,茶葉
12298,烏龍茶
12299,綜合禮盒
12300,其他茶葉
12301,糕酥
12302,鳳梨酥
12303,水果酥
12304,其他糕酥
12305,肉乾
12306,牛肉乾
12307,豬肉乾
12308,其他肉乾
12312,蜜餞堅果
12313,水果乾
12314,花生
12315,堅果
12309,糖果餅乾
12310,糖果
12311,餅乾
12345,采盟自營品牌
12355,采盟自營品牌
12348,飾品
12352,項鍊
12498,手環
12499,耳環
12500,配件
12501,戒指
12349,腕錶
12226,女錶
12238,男錶
12249,中性錶
12350,巧克力
12354,巧克力
12316,3C商品
12328,音響耳機
12329,耳機
12330,音響
12333,旅行與生活
12317,手機與配件
12321,行動電源
12322,手機配件
