prod_picture,prod_no,prod_external,cat_code,prodName,prod_price,prod_salesprice,brief_Desc,Other_Desc,Brand_id,Inventory,prod_hot,prod_latest,prod_special,Related,,,,新分類
CN80017725F,CN80017725F,N/A,12159,"ENHANCING EYE LIFT SERUM DUO
V型?抗引力大眼精華(雙瓶裝)",3360,0,"規格：20 ml × 2瓶
　",Clarins克蘭詩,N/A,2,False,False,False,N/A,,11100,,11100
C007SY2510,EZC007SY2510F,N/A,12159,"90 pcs Ceramide Caps and Day Cream Set
時空膠囊華麗套組",5280,0,規格：50ml+41.9ml+90pcs,Elizabeth Arden 伊麗莎白雅頓,N/A,2,False,False,False,N/A,,11100,,11100
C371SW2540,EZC371SW2540F,N/A,12159,"Visible Whitening Traveler's Exclusive
光纖鑽白全新智慧修護膠囊三支裝",4300,0,規格：37顆 × 3,Elizabeth Arden 伊麗莎白雅頓,N/A,2,False,False,False,"EZC371SW2540F,EZC371SW2540F,EZC365SW2540F",,11100,,11100
CN80001073F,CN80001073F,N/A,12159,"DOUBLE SERUM DUO (50ml x 2) - JUMBO
黃金雙激萃雙瓶裝",5150,0,規格：50 ml × 2瓶,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11100,,11100
A0101892,EZA0101892F,N/A,12159,"Green Tea Hand Cream 4pc Trex Exclusive
綠茶護手霜套裝",1260,0,規格：30 ml × 4支,Elizabeth Arden 伊麗莎白雅頓,N/A,2,False,False,False,N/A,,11100,,11100
S29006053197F,S29006053197F,N/A,12159,"SK-II Facial Treatment Mask Deluxe Set
青春敷面膜兩盒裝",6510,0,規格：10片 &#215; 2盒,SK-II,N/A,2,False,False,False,N/A,,11100,,11100
C365SW2540,EZC365SW2540F,N/A,12159,"Ceramide Capsules Daily Youth Restoring Serum Trio 3 x 30 Capsules
CLX 黄金導航膠囊 ",3570,0,規格：30顆 × 3,Elizabeth Arden 伊麗莎白雅頓,N/A,2,False,False,False,"EZC371SW2540F,EZC371SW2540F,EZC365SW2540F",,11100,,11100
CN80017726F,CN80017726F,N/A,12159,"SHAPING FACIAL LIFT EXPERTS (2016)
V型套組",3700,0,"規格：50 ml + 15 ml
",Clarins克蘭詩,N/A,2,False,False,False,N/A,,11100,,11100
A0101276,EZA0101276F,N/A,12159,"Eight Hour? Eight Hour Lip Trios
8小時經典潤澤潤色唇膏 SPF15三支裝",1590,0,規格：8 Hr Cream Lip Tint ( Berry) SPF 15 individually cartooned (0.13 oz / 3.7 g) +  8 Hr Cream Lip Protectant Stick SPF 15 individually cartooned (0.13 oz / 3.7 g) + 8 Hr Cream Lip Tint (Blush) SPF 15 individually cartooned (0.13 oz / 3.7 g),Elizabeth Arden 伊麗莎白雅頓,N/A,2,False,False,False,N/A,,11100,,11100
CN80015161F,CN80015161F,N/A,12159,"CLEANSING ESSENTIALS
完美調理套組",2080,0,規格：125 ml + 200 ml + 125 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11100,,11100
S29006070460F,S29006070460F,N/A,12159,"R.N.A.Power Cream Duo Set - Radical New Age
R.N.A. 超肌能彈力精萃雙瓶裝",8130,0,規格：80  g × 2瓶,SK-II,N/A,2,False,False,False,N/A,,11100,,11100
S29006070453F,S29006070453F,N/A,12159,"R.N.A.Power Essence & Cream Set
R.N.A. 超肌能雙重修護套組",8230,0,規格：80  g + 50 ml,SK-II,N/A,2,False,False,False,N/A,,11100,,11100
CN80015182F,CN80015182F,N/A,12159,BEAUTIFUL BODY (ASIA)完美塑身套組,5050,0,規格：20  g + 100 ml + 200 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11100,,11100
